subset,metric,predicted,actual,n,prevalence,source,model,mean_dist
dist_bin0,aucroc,0.5396790361979349,0.5009571407876492,2051,0.20136518771331058,unseen_fold34,ergo_ii,-1.8706143473337216
dist_bin1,aucroc,0.5492767879292259,0.5334739144017494,2051,0.14188200877620674,unseen_fold34,ergo_ii,0.08991602149537467
dist_bin2,aucroc,0.4836335152595088,0.48581805910770104,2051,0.17942467089224767,unseen_fold34,ergo_ii,0.6970866705525249
dist_bin3,aucroc,0.4828798012646891,0.44077200793339255,2051,0.24329595319356412,unseen_fold34,ergo_ii,0.7947092461828106
dist_bin4,aucroc,0.48296691931852986,0.47734089634108334,2051,0.25646026328620186,unseen_fold34,ergo_ii,0.8565861451972439
dist_bin5,aucroc,0.4815508432559417,0.47897081351285975,2051,0.2296440760604583,unseen_fold34,ergo_ii,0.9277610331342326
dist_bin6,aucroc,0.48152942449954816,0.45537179630891095,2051,0.2091662603607996,unseen_fold34,ergo_ii,1.0169195830512545
dist_bin7,aucroc,0.48545239659264294,0.4560736891157491,2055,0.18929440389294405,unseen_fold34,ergo_ii,1.1230369400600742
dist_bin0,aucroc,0.5789676587157024,0.5808696389218512,864,0.19675925925925927,v3_combined,ergo_ii,-3.1046088872767985
dist_bin1,aucroc,0.5512823528862283,0.5495374048129158,864,0.21180555555555555,v3_combined,ergo_ii,-2.913530172786286
dist_bin2,aucroc,0.5099097455071107,0.5712213623546158,864,0.18171296296296297,v3_combined,ergo_ii,-1.2663638940229935
dist_bin3,aucroc,0.5612320057102083,0.5833701825118134,864,0.1909722222222222,v3_combined,ergo_ii,0.007665399936073485
dist_bin4,aucroc,0.5942288128867363,0.5472871033736444,864,0.21643518518518517,v3_combined,ergo_ii,0.4877056425323295
dist_bin5,aucroc,0.4990033552461605,0.49312659846547313,864,0.21296296296296297,v3_combined,ergo_ii,0.7309640490825976
dist_bin6,aucroc,0.4950895756283119,0.48306262689364365,864,0.2199074074074074,v3_combined,ergo_ii,0.8817718775586291
dist_bin7,aucroc,0.4959603338356645,0.45605364040950014,867,0.23760092272202998,v3_combined,ergo_ii,1.0497412750942419
dist_bin0,aucroc,0.572588096244513,0.5722328280525795,1633,0.19657072872014697,v4_combined,ergo_ii,-3.1616103860353872
dist_bin1,aucroc,0.559107454672638,0.5615408139261351,1633,0.19902020820575628,v4_combined,ergo_ii,-2.9928743722986337
dist_bin2,aucroc,0.5572352601176199,0.5531206927756971,1633,0.20269442743417024,v4_combined,ergo_ii,-2.9269073663076637
dist_bin3,aucroc,0.5322145719190013,0.5418167688934528,1633,0.16105327617881202,v4_combined,ergo_ii,-1.293226194285986
dist_bin4,aucroc,0.5112265877753891,0.48311109866098945,1633,0.15921616656460502,v4_combined,ergo_ii,0.4892523057241068
dist_bin5,aucroc,0.5045600881069147,0.4496644528186658,1633,0.31598285364360074,v4_combined,ergo_ii,0.8170232797947231
dist_bin6,aucroc,0.4999801995928114,0.48136093971062055,1633,0.2535211267605634,v4_combined,ergo_ii,0.9694670157198838
dist_bin7,aucroc,0.5010453401397065,0.4764849589607233,1638,0.1813186813186813,v4_combined,ergo_ii,1.112491846341989
dist_bin0,aucroc,0.8536926726696188,0.7713198988988597,1715,0.2956268221574344,mcpas,ergo_ii,-1.549294659845297
dist_bin1,aucroc,0.5795059700611794,0.605686081739933,1715,0.11486880466472303,mcpas,ergo_ii,0.5313886915316939
dist_bin2,aucroc,0.489504413662591,0.5079220463695683,1715,0.08571428571428572,mcpas,ergo_ii,0.7045830520923517
dist_bin3,aucroc,0.4834330069833936,0.508892281886411,1715,0.10612244897959183,mcpas,ergo_ii,0.7861777327456874
dist_bin4,aucroc,0.4904303892667423,0.510741424159715,1715,0.1206997084548105,mcpas,ergo_ii,0.8468178766985124
dist_bin5,aucroc,0.4902199372543649,0.519710565523132,1715,0.16851311953352768,mcpas,ergo_ii,0.904520640813519
dist_bin6,aucroc,0.4921557080023319,0.5069600071713045,1715,0.1988338192419825,mcpas,ergo_ii,0.9724805214479987
dist_bin7,aucroc,0.506749722342249,0.49843833067517274,1718,0.11525029103608847,mcpas,ergo_ii,1.1434852003155476
dist_bin0,aucroc,0.5235530953775,0.7458337134689658,1195,0.24351464435146444,iedb_sars,ergo_ii,-2.8494198363494925
dist_bin1,aucroc,0.6867773739132512,0.5111374632888928,1195,0.15732217573221757,iedb_sars,ergo_ii,-1.8751265174296372
dist_bin2,aucroc,0.6544307460331287,0.41793697180317513,1195,0.03682008368200837,iedb_sars,ergo_ii,-1.7392045453890952
dist_bin3,aucroc,0.5991260111674863,0.5016110676922655,1195,0.11548117154811716,iedb_sars,ergo_ii,-1.3275332651908547
dist_bin4,aucroc,0.4975340497095399,0.5240675451778214,1195,0.17656903765690377,iedb_sars,ergo_ii,-0.42053277465555666
dist_bin5,aucroc,0.5040971716980307,0.4933364022823888,1195,0.14393305439330545,iedb_sars,ergo_ii,-0.34396287762127137
dist_bin6,aucroc,0.5243019624647106,0.4583547731888964,1195,0.11715481171548117,iedb_sars,ergo_ii,-0.17260167929790748
dist_bin7,aucroc,0.49548387139613836,0.4719202371955119,1197,0.13951545530492898,iedb_sars,ergo_ii,0.9329412629780557
dist_bin0,aucroc,0.9138643712166461,0.8523096323935877,1504,0.2872340425531915,seen_test,tcrbert,-3.262627235475151
dist_bin1,aucroc,0.7290062087333599,0.7627763623297963,1504,0.25398936170212766,seen_test,tcrbert,-3.0556155824057636
dist_bin2,aucroc,0.6423580370481584,0.6436756808592252,1504,0.21010638297872342,seen_test,tcrbert,-3.007355574123783
dist_bin3,aucroc,0.6096791330408862,0.5832134440161767,1504,0.2214095744680851,seen_test,tcrbert,-2.976203218894754
dist_bin4,aucroc,0.5943770241536225,0.5848281995046211,1504,0.20345744680851063,seen_test,tcrbert,-2.9440069065932954
dist_bin5,aucroc,0.6094267819281545,0.6031091785689122,1504,0.22739361702127658,seen_test,tcrbert,-2.8854112665761065
dist_bin6,aucroc,0.6008874203758284,0.5126740303108143,1504,0.15226063829787234,seen_test,tcrbert,-1.054723026038532
dist_bin7,aucroc,0.5934220036758786,0.5149547767100057,1510,0.19205298013245034,seen_test,tcrbert,0.34648584629061263
dist_bin0,aucroc,0.49687079493471326,0.48379438694208676,2051,0.20136518771331058,unseen_fold34,tcrbert,-1.8706143473337216
dist_bin1,aucroc,0.5188357726124767,0.5401573726960325,2051,0.14188200877620674,unseen_fold34,tcrbert,0.08991602149537467
dist_bin2,aucroc,0.5122162389152357,0.5110205314009661,2051,0.17942467089224767,unseen_fold34,tcrbert,0.6970866705525249
dist_bin3,aucroc,0.5093133926897689,0.4839098299692168,2051,0.24329595319356412,unseen_fold34,tcrbert,0.7947092461828106
dist_bin4,aucroc,0.5066688901491304,0.4846375366203329,2051,0.25646026328620186,unseen_fold34,tcrbert,0.8565861451972439
dist_bin5,aucroc,0.5062494818665253,0.5222499932811954,2051,0.2296440760604583,unseen_fold34,tcrbert,0.9277610331342326
dist_bin6,aucroc,0.4984114892065556,0.45214906343143085,2051,0.2091662603607996,unseen_fold34,tcrbert,1.0169195830512545
dist_bin7,aucroc,0.4943721274416261,0.4540723744510658,2055,0.18929440389294405,unseen_fold34,tcrbert,1.1230369400600742
dist_bin0,aucroc,0.697109575998016,0.6954907611459569,864,0.19675925925925927,v3_combined,tcrbert,-3.1046088872767985
dist_bin1,aucroc,0.5667064497973308,0.569910851126999,864,0.21180555555555555,v3_combined,tcrbert,-2.913530172786286
dist_bin2,aucroc,0.5301804934717297,0.47770700636942676,864,0.18171296296296297,v3_combined,tcrbert,-1.2663638940229935
dist_bin3,aucroc,0.5415005321332418,0.5534313087961156,864,0.1909722222222222,v3_combined,tcrbert,0.007665399936073485
dist_bin4,aucroc,0.5468152485599124,0.5029502602706183,864,0.21643518518518517,v3_combined,tcrbert,0.4877056425323295
dist_bin5,aucroc,0.5403744061796688,0.5249040920716113,864,0.21296296296296297,v3_combined,tcrbert,0.7309640490825976
dist_bin6,aucroc,0.5468302802826281,0.5240980790254568,864,0.2199074074074074,v3_combined,tcrbert,0.8817718775586291
dist_bin7,aucroc,0.5250067164771896,0.4611760645094958,867,0.23760092272202998,v3_combined,tcrbert,1.0497412750942419
dist_bin0,aucroc,0.756640527116206,0.7928550737026062,1633,0.19657072872014697,v4_combined,tcrbert,-3.1616103860353872
dist_bin1,aucroc,0.6198428864214054,0.597005410491649,1633,0.19902020820575628,v4_combined,tcrbert,-2.9928743722986337
